sID,PosX,PosY,PosZ,Area,Intensity_Center_Ch_01,Intensity_Center_Ch_02,Intensity_Max_Ch_01,Intensity_Max_Ch_02,Intensity_Mean_Ch_01,Intensity_Mean_Ch_02,Intensity_Median_Ch_01,Intensity_Median_Ch_02,Intensity_Min_Ch_01,Intensity_Min_Ch_02,Intensity_StdDev_Ch_01,Intensity_StdDev_Ch_02,Intensity_Sum_Ch_01,Intensity_Sum_Ch_02,Sphericity,Volume
586,43.4637,169.589,2.76771,311.785,1029.7,725.792,1367,932,454.232,432.228,357.875,385.867,263,250,225.361,135.234,117646,111947,7975.98,368.75
587,214.43,192.177,5.56631,993.396,418.343,1098.49,777,2879,319.908,600.161,290.598,464,256,303,77.1951,363.954,426757,800615,7519.07,1919.57
588,188.256,207.454,5.58169,723.383,407.25,969.544,582,1897,308.692,555.852,290.27,479.168,253,312,51.5653,247.369,256214,461357,7567.36,1204.32
589,81.2001,2.67317,3.58179,188.311,304.233,308.963,374,464,317.407,351.008,313.813,341.625,267,288,20.3115,36.5697,37454,41419,6691.09,132.994
590,197.74,161.999,4.61972,593.572,551.044,1848.22,596,2022,330.298,664.401,298.805,513.266,247,290,78.6199,376.137,234181,471060,8450.62,1056.37
591,22.7005,160.531,7.0439,1216.41,661.641,519.648,1589,1070,441.236,391.049,368.102,357.172,259,248,215.909,117.818,596551,528698,6388.29,2036.9
592,32.0153,168.379,4.62681,744.984,1052.7,663.072,1280,897,465.35,394.674,385.273,357.844,262,249,213.304,119.021,357389,303110,7133.96,1152.1
593,131.376,171.559,4.38177,686.305,508.168,515.188,630,773,359.291,381.4,332.965,352.813,273,275,68.3029,82.1487,248989,264310,7050.48,1000.87
594,205.251,183.224,4.69775,595.349,482.775,1387.81,601,1880,324.779,637.879,294.75,494,251,296,69.5672,334.536,233841,459273,8345.65,1041.41
595,67.4927,19.7573,4.49526,196.827,527.277,416.931,662,532,399.891,334.218,370.188,316.781,294,248,83.8252,55.461,58784,49130,9325.86,233.848
597,105.89,176.436,5.24287,98.4891,269.126,381.329,292,415,277.76,375.48,277.984,372.719,269,333,5.13176,20.5126,13888,18774,6460.08,47.7214
598,197.766,196.674,8.89175,1813.93,364.819,872.021,934,3411,331.616,653.278,295.422,500.988,250,294,90.1413,410.559,1111910,2190440,7770.55,4976.03
599,123.626,135.207,7.38962,127.312,288.982,434.474,317,510,285.366,423.746,282.828,421.496,263,347,13.1812,44.7636,20261,30086,8464.57,105.192
600,212.092,164.289,9.96196,988.902,327.127,675.534,577,1903,312.962,581.467,293.43,486.969,250,299,58.277,268.069,435330,808821,8098.66,2131.2
601,114.275,165.611,6.28106,188.114,293.316,425.954,301,480,283.312,386.976,282.934,379.383,264,321,8.2811,34.066,35414,48372,8166.41,179.04
602,62.3041,168.302,5.29015,39.8896,265,334.75,283,407,273.15,378.1,272,379.93,267,341,4.96267,14.6455,5463,7562,7845.96,16.4639
603,72.941,175.938,7.31249,403.879,280.63,475.55,323,647,282.099,424.622,280.977,405.215,257,316,12.7285,61.3365,97042,146070,7468.96,492.652
